Cohort,Chrom,Inv,Allele_N,Obs_Freq_Var,Scaling,Sampled_Variance
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.012589254117941404,6.447538194684197e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.015848931924610784,5.122206465773306e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.019952623149688337,4.063513035897112e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.025118864315095205,3.242357999573089e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.031622776601683014,2.5678674116287074e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.039810717055348714,2.0384148592737375e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.050118723362725916,1.6197127147552477e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.06309573444801762,1.2882271192375798e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.07943282347242595,1.0229767543609545e-05
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.09999999999999713,8.13941710231761e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.125892541179413,6.45954616804743e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.15848931924610654,5.1198066237934036e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.19952623149688176,4.06720302550575e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.25118864315095,3.2285408466154853e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.31622776601682756,2.566640485143826e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.3981071705534839,2.0397452776798773e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.501187233627255,1.6213199192198667e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.630957344480171,1.2889431612573015e-06
Cntrl 6,2L,Adult,200,0.00015639122897506368,0.794328234724253,1.0216801087858009e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,3.1622776601683795e-05,0.005654014980619161
Cntrl 1,2L,Adult,400,0.0001722934978912822,3.9810717055349695e-05,0.004473239242911188
Cntrl 1,2L,Adult,400,0.0001722934978912822,5.011872336272715e-05,0.0034057365036181558
Cntrl 1,2L,Adult,400,0.0001722934978912822,6.309573444801917e-05,0.0027235743824183646
Cntrl 1,2L,Adult,400,0.0001722934978912822,7.94328234724279e-05,0.002140606563611264
Cntrl 1,2L,Adult,400,0.0001722934978912822,9.999999999999958e-05,0.001677852873202603
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0001258925411794161,0.0013243726243070111
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.00015848931924611044,0.0010422825133307731
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.00019952623149688666,0.0008311172612157778
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.00025118864315095617,0.0006559321232566988
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.00031622776601683534,0.0005217532330556448
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.00039810717055349367,0.00041314937955281704
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0005011872336272673,0.00032718024909088414
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0006309573444801866,0.0002598256362762001
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0007943282347242724,0.00020607670678866378
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0009999999999999877,0.00016401317663413764
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0012589254117941508,0.00012993726497518147
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0015848931924610915,0.0001032584342814072
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0019952623149688503,8.184003558230822e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.0025118864315095413,6.511011201527822e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.003162277660168328,5.166553524758299e-05
