Library,Line,Cohort,Chrom,Sample_Ind_N,Inv,Inv_F,Std_F,N_Inv,N_Std,N_Recomb,N_Mismap,N_Multmap
418emb3L.2b,418,Embryo,3L,Ok,1253,0.14669807319474956,0.8533019268052504,119327,694092,0,599,0
418emb3L.3a,418,Embryo,3L,Ok,1253,0.14328286872484275,0.8567171312751573,80342,480381,0,1176,0
418emb3L.3b,418,Embryo,3L,Ok,1253,0.14424266254739504,0.855757337452605,128394,761731,0,612,0
418emb3L.4a,418,Embryo,3L,Ok,1253,0.14784466574292826,0.8521553342570718,88988,512914,0,2482,0
418emb3L.4b,418,Embryo,3L,Ok,1253,0.1493886428464527,0.8506113571535473,168691,960518,0,1618,0
418emb3L.5a,418,Embryo,3L,Ok,1253,0.1322047853382785,0.8677952146617215,34683,227660,0,560,0
418emb3L.5b,418,Embryo,3L,Ok,1253,0.13154131555932344,0.8684586844406765,53996,356491,0,262,0
418emb3L.6a,418,Embryo,3L,Ok,1253,0.1396401520821483,0.8603598479178517,23322,143693,0,379,0
418emb3L.6b,418,Embryo,3L,Ok,1253,0.13948882771546547,0.8605111722845346,38105,235071,0,239,0
418emb3R.1a,418,Embryo,3R,K,1253,0.18439470649920048,0.8156052935007996,38861,171888,0,944,0
418emb3R.1b,418,Embryo,3R,K,1253,0.18518224529637656,0.8148177547036235,86319,379811,0,1160,0
418emb3R.2a,418,Embryo,3R,K,1253,0.1892087846714424,0.8107912153285576,30533,130839,0,636,0
418emb3R.2b,418,Embryo,3R,K,1253,0.19171173621873916,0.8082882637812608,53561,225822,0,507,0
418emb3R.3a,418,Embryo,3R,K,1253,0.19120139291932675,0.8087986070806732,8236,34839,0,174,0
418emb3R.3b,418,Embryo,3R,K,1253,0.19218300813505412,0.8078169918649458,12568,52828,0,132,0
418emb3R.4a,418,Embryo,3R,K,1253,0.17728804396792505,0.8227119560320749,49193,228282,0,1190,0
418emb3R.4b,418,Embryo,3R,K,1253,0.1791561971766641,0.8208438028233359,78431,359349,0,853,0
418emb3R.5a,418,Embryo,3R,K,1253,0.1820989985348096,0.8179010014651904,48222,216590,0,2195,0
418emb3R.5b,418,Embryo,3R,K,1253,0.18587599564551324,0.8141240043544867,75469,330549,0,1254,0
